epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.6441,1.47538,3.06873,1.64007,0.59846,0.41161,0.40277,0.28588,1.551,2.69615,1.7386,0.000331439,0.000331439,0.000331439
2,96.7162,1.47495,2.47566,1.63265,0.60088,0.44465,0.42913,0.30783,1.60559,2.40935,1.76355,0.000658191,0.000658191,0.000658191
3,142.587,1.50112,2.35685,1.6342,0.57116,0.40092,0.39105,0.23344,1.75981,2.68748,1.98812,0.000978344,0.000978344,0.000978344
4,188.944,1.47093,2.25642,1.62106,0.45867,0.45696,0.44742,0.3046,1.64064,2.36887,1.73787,0.0009703,0.0009703,0.0009703
5,234.932,1.47024,2.15107,1.60546,0.52087,0.44704,0.44245,0.29734,1.62413,2.41682,1.73097,0.0009604,0.0009604,0.0009604
6,282.028,1.42846,2.07742,1.58081,0.44616,0.4684,0.45894,0.33326,1.66993,2.66926,1.82254,0.0009505,0.0009505,0.0009505
7,328.883,1.41037,1.98668,1.56575,0.50978,0.53134,0.51358,0.37325,1.55309,2.10222,1.72751,0.0009406,0.0009406,0.0009406
8,375.325,1.38581,1.91988,1.53878,0.58984,0.52933,0.53056,0.40191,1.51075,2.05855,1.67697,0.0009307,0.0009307,0.0009307
9,421.602,1.35329,1.88832,1.52222,0.55545,0.45772,0.44897,0.33999,1.66912,2.45941,1.85325,0.0009208,0.0009208,0.0009208
10,467.199,1.33884,1.82592,1.50209,0.52114,0.54092,0.54143,0.41047,1.48619,2.05515,1.63714,0.0009109,0.0009109,0.0009109
11,512.49,1.31201,1.76935,1.48294,0.60311,0.50986,0.52564,0.40777,1.52456,2.12193,1.71568,0.000901,0.000901,0.000901
12,558.588,1.30594,1.75951,1.48009,0.54732,0.55271,0.5604,0.42748,1.45279,1.94546,1.62056,0.0008911,0.0008911,0.0008911
13,604.164,1.29119,1.71982,1.46731,0.55682,0.57166,0.5738,0.43031,1.43064,1.89318,1.5593,0.0008812,0.0008812,0.0008812
14,650.128,1.26617,1.68444,1.45453,0.63581,0.57765,0.60181,0.45666,1.40404,1.76955,1.56114,0.0008713,0.0008713,0.0008713
15,696.005,1.25645,1.65619,1.4462,0.60108,0.54432,0.55085,0.42058,1.46161,1.94605,1.60568,0.0008614,0.0008614,0.0008614
16,741.895,1.25749,1.63165,1.45192,0.54965,0.55853,0.56345,0.43428,1.47278,2.02045,1.64852,0.0008515,0.0008515,0.0008515
17,788.955,1.25671,1.63409,1.43651,0.58905,0.59892,0.59841,0.4491,1.38829,1.74106,1.53539,0.0008416,0.0008416,0.0008416
18,836.293,1.23641,1.57471,1.42179,0.62216,0.51448,0.54747,0.40628,1.5125,2.0345,1.70474,0.0008317,0.0008317,0.0008317
19,882.599,1.22811,1.56164,1.40919,0.64238,0.60089,0.60934,0.46059,1.40001,1.68218,1.53274,0.0008218,0.0008218,0.0008218
20,928.99,1.20849,1.52884,1.40421,0.64115,0.59874,0.61185,0.46977,1.37606,1.69357,1.5193,0.0008119,0.0008119,0.0008119
21,975.493,1.20131,1.50754,1.39609,0.62925,0.61695,0.63063,0.48424,1.33793,1.58811,1.48989,0.000802,0.000802,0.000802
22,1021.92,1.19049,1.47927,1.38447,0.62059,0.61785,0.62474,0.47983,1.35682,1.62032,1.51138,0.0007921,0.0007921,0.0007921
23,1068.1,1.19492,1.48825,1.38913,0.65973,0.61754,0.64287,0.49095,1.33048,1.59394,1.4723,0.0007822,0.0007822,0.0007822
24,1114.6,1.18215,1.46163,1.38316,0.63513,0.62561,0.61576,0.47376,1.36803,1.62261,1.5123,0.0007723,0.0007723,0.0007723
25,1160.7,1.16984,1.46737,1.37563,0.64957,0.60314,0.62787,0.48209,1.34378,1.64353,1.50288,0.0007624,0.0007624,0.0007624
26,1206.15,1.17479,1.42742,1.3668,0.62306,0.62859,0.6221,0.48111,1.33958,1.6653,1.50426,0.0007525,0.0007525,0.0007525
27,1252,1.13992,1.39448,1.34562,0.65619,0.6185,0.63395,0.4875,1.34492,1.55096,1.48599,0.0007426,0.0007426,0.0007426
