epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.3887,0.92848,0.91531,1.25558,0.70667,0.63762,0.65582,0.48009,1.44828,1.60528,1.73377,0.000332386,0.000332386,0.000332386
2,140.408,0.98157,1.0319,1.28699,0.65639,0.67166,0.65149,0.47892,1.40987,1.56203,1.66973,0.000652538,0.000652538,0.000652538
3,208.484,1.03142,1.11619,1.32504,0.60308,0.64389,0.64184,0.46264,1.46945,1.65113,1.7256,0.000959491,0.000959491,0.000959491
4,275.626,1.06614,1.20718,1.34795,0.63144,0.62149,0.61921,0.45558,1.46209,1.71989,1.71619,0.0009406,0.0009406,0.0009406
5,341.974,1.07879,1.21071,1.36356,0.61648,0.64177,0.64328,0.47894,1.43633,1.63671,1.71556,0.0009208,0.0009208,0.0009208
6,407.992,1.06503,1.1891,1.34869,0.68748,0.61261,0.64677,0.46472,1.44776,1.5483,1.70881,0.000901,0.000901,0.000901
7,473.46,1.06811,1.19501,1.35042,0.6667,0.62462,0.64297,0.47539,1.43954,1.61388,1.69548,0.0008812,0.0008812,0.0008812
8,539.638,1.07615,1.19143,1.34949,0.62585,0.64066,0.63648,0.46398,1.41301,1.58634,1.66557,0.0008614,0.0008614,0.0008614
9,604.981,1.02832,1.13725,1.32648,0.70655,0.63368,0.66788,0.50116,1.3832,1.50412,1.66072,0.0008416,0.0008416,0.0008416
10,668.955,1.04506,1.14689,1.3375,0.67424,0.65318,0.65319,0.49108,1.41079,1.55698,1.67336,0.0008218,0.0008218,0.0008218
11,735.565,1.05089,1.12918,1.34239,0.69037,0.63601,0.64594,0.4799,1.41239,1.59866,1.68781,0.000802,0.000802,0.000802
12,805.428,1.04152,1.14271,1.33362,0.68427,0.66426,0.67881,0.49045,1.40666,1.50559,1.665,0.0007822,0.0007822,0.0007822
13,876.193,1.04035,1.12102,1.32701,0.68097,0.65041,0.65605,0.49701,1.37905,1.56822,1.64529,0.0007624,0.0007624,0.0007624
14,946.71,1.02694,1.11882,1.32127,0.66066,0.66522,0.66778,0.49013,1.38984,1.5384,1.66501,0.0007426,0.0007426,0.0007426
15,1015.66,1.02753,1.09275,1.32696,0.70148,0.65143,0.67937,0.5111,1.37695,1.49808,1.64821,0.0007228,0.0007228,0.0007228
16,1083.25,1.01009,1.07899,1.30733,0.68965,0.65675,0.66912,0.49627,1.40727,1.56575,1.67163,0.000703,0.000703,0.000703
17,1152.63,0.98602,1.04469,1.28943,0.66758,0.67925,0.6914,0.51496,1.36508,1.48791,1.64608,0.0006832,0.0006832,0.0006832
18,1221.67,0.99236,1.032,1.28954,0.67408,0.67075,0.67763,0.50418,1.37888,1.53137,1.64297,0.0006634,0.0006634,0.0006634
19,1290.57,0.99519,1.05529,1.30036,0.68282,0.65122,0.66202,0.49859,1.37727,1.51308,1.6398,0.0006436,0.0006436,0.0006436
